_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD,MONTH,YEAR
25034,NY,163,Oct-13,Oct,2013
25035,SC,208,Oct-13,Oct,2013
25036,TO,448,Oct-13,Oct,2013
25037,ET,92,Nov-13,Nov,2013
25038,NY,162,Nov-13,Nov,2013
25039,SC,140,Nov-13,Nov,2013
25040,TO,315,Nov-13,Nov,2013
25041,ET,89,Dec-13,Dec,2013
25042,NY,146,Dec-13,Dec,2013
25043,SC,130,Dec-13,Dec,2013
25044,TO,314,Dec-13,Dec,2013
25045,ET,85,Jan-14,Jan,2014
25046,NY,186,Jan-14,Jan,2014
25047,SC,139,Jan-14,Jan,2014
25048,TO,375,Jan-14,Jan,2014
25049,ET,93,Feb-14,Feb,2014
25050,NY,134,Feb-14,Feb,2014
25051,SC,126,Feb-14,Feb,2014
25052,TO,364,Feb-14,Feb,2014
25053,ET,151,Mar-14,Mar,2014
25054,NY,201,Mar-14,Mar,2014
25055,SC,180,Mar-14,Mar,2014
25056,TO,530,Mar-14,Mar,2014
25057,ET,151,Apr-14,Apr,2014
25058,NY,240,Apr-14,Apr,2014
25059,SC,229,Apr-14,Apr,2014
25060,TO,674,Apr-14,Apr,2014
25061,ET,219,May-14,May,2014
25062,NY,318,May-14,May,2014
25063,SC,298,May-14,May,2014
25064,TO,847,May-14,May,2014
25065,ET,240,Jun-14,Jun,2014
25066,NY,309,Jun-14,Jun,2014
25067,SC,315,Jun-14,Jun,2014
25068,TO,942,Jun-14,Jun,2014
25069,ET,252,Jul-14,Jul,2014
25070,NY,348,Jul-14,Jul,2014
25071,SC,338,Jul-14,Jul,2014
25072,TO,1024,Jul-14,Jul,2014
25073,ET,239,Aug-14,Aug,2014
25074,NY,351,Aug-14,Aug,2014
25075,SC,288,Aug-14,Aug,2014
25076,TO,967,Aug-14,Aug,2014
25077,ET,169,Sep-14,Sep,2014
25078,NY,228,Sep-14,Sep,2014
25079,SC,225,Sep-14,Sep,2014
25080,TO,658,Sep-14,Sep,2014
25081,ET,126,Oct-14,Oct,2014
25082,NY,180,Oct-14,Oct,2014
25083,SC,206,Oct-14,Oct,2014
25084,TO,489,Oct-14,Oct,2014
25085,ET,77,Nov-14,Nov,2014
25086,NY,138,Nov-14,Nov,2014
25087,SC,111,Nov-14,Nov,2014
25088,TO,347,Nov-14,Nov,2014
25089,ET,109,Dec-14,Dec,2014
25090,NY,162,Dec-14,Dec,2014
25091,SC,157,Dec-14,Dec,2014
25092,TO,357,Dec-14,Dec,2014
25093,ET,123,Jan-15,Jan,2015
25094,NY,140,Jan-15,Jan,2015
25095,SC,149,Jan-15,Jan,2015
25096,TO,327,Jan-15,Jan,2015
25097,ET,108,Feb-15,Feb,2015
25098,NY,159,Feb-15,Feb,2015
25099,SC,130,Feb-15,Feb,2015
25100,TO,333,Feb-15,Feb,2015
25101,ET,155,Mar-15,Mar,2015
25102,NY,224,Mar-15,Mar,2015
25103,SC,222,Mar-15,Mar,2015
25104,TO,559,Mar-15,Mar,2015
25105,ET,149,Apr-15,Apr,2015
25106,NY,273,Apr-15,Apr,2015
25107,SC,257,Apr-15,Apr,2015
